words,kind
Robert Cohn,person
Cohn,person
Frances,person
Robert,person
Mrs Braddocks,person
Barnes,person
Georgette,person
Brett,person
Mike,person
Ashley,person
Harvey,person
Michael,person
Bill,person
Harris,person
Jake,person
Pedro Romero,person
Belmonte,person
Romero,person
Marcial,person
Roberto,person
Robert Jordan,person
Pablo,person
Rafael,person
Maria,person
Anselmo,person
Finito,person
Pilar,person
Fernando,person
Don Benito,person
Don Federico,person
Cuatro Dedos,person
Don Ricardo Montalvo,person
Don Ricardo,person
Don Faustino,person
Don Guillermo,person
Don Anastasio,person
Don Pepe,person
Robert,person
Jordan,person
Karkov,person
Hans,person
Bach,person
Juan Luis,person
Sordo,person
Lieutenant Berrendo,person
Bob,person
Eladio,person
Gomez,person
Marty,person
Franz Joseph,person
Miss Barkley,person
Barkley,person
Helen Ferguson,person
Miss Ferguson,person
Ferguson,person
Helen,person
Mr Henry,person
Catherine,person
Catherine Barkley,person
Rinaldi,person
Tenente,person
Passini,person
Manera,person
Walker,person
Mrs Walker,person
Henry,person
Frederic Henry,person
Van Campen,person
Miss Gage,person
Dr Valentini,person
Fergy,person
George,person
Edgar Saunders,person
Mac,person
Saunders,person
Fred,person
Ettore,person
Crowell,person
Piani,person
Sim,person
Count Greffi,person
Cat,person
Catherine Henry,person
David,person
Catherine,person
Jean,person
Marita,person
Beatrice,person
Amory,person
Amory Blaine,person
Myra,person
Kerry,person
Shaw,person
Tom,person
Isabelle Borge,person
Sally,person
Mrs Borge,person
Sloane,person
Burne,person
Jesse,person
Clara,person
Alec,person
Eleanor,person
Jill,person
Olson,person
Rosalind,person
Borge,person
Anthony Patch,person
Adam,person
Adam Patch,person
Anthony,person
Dick,person
Richard Caramel,person
Gloria,person
Gilbert,person
Richard,person
Mrs Gilbert,person
Geraldine,person
Joseph Bloeckman,person
Bloeckman,person
Rachael,person
Hull,person
Mr Haight,person
Tom,person
Tom Buchanan,person
Daisy,person
Baker,person
Nick,person
Miss Baker,person
Jordan,person
Mrs Wilson,person
Catherine,person
Jay Gatsby,person
Jordan Baker,person
Mr Gatsby,person
Mr Wolfshiem,person
Jay,person
Gatsby,person
George,person
Mrs McKisco,person
Mrs Abrams,person
Abe North,person
Dick Diver,person
Dick,person
Nicole,person
Mary North,person
Rosemary,person
Abe,person
Brady,person
Mrs Speers,person
Tommy Barban,person
Tommy,person
Barban,person
McKisco,person
Mary,person
Collis Clay,person
Collis,person
Clay,person
Peterson,person
Doctor Diver,person
Franz,person
Dohmler,person
Doctor Dohmler,person
Warren,person
Doctor,person
Lanier,person
Caroline,person
Gausse,person
Santiago,person
