title,words,kind
The Sun Also Rises,Robert Cohn,person
The Sun Also Rises,Spider Kellys,person
The Sun Also Rises,Spider Kelly,person
The Sun Also Rises,Cohn,person
The Sun Also Rises,Frances,person
The Sun Also Rises,Robert,person
The Sun Also Rises,Saint Odile,person
The Sun Also Rises,Jacob Barnes,person
The Sun Also Rises,Frances Clyne,person
The Sun Also Rises,Mrs Braddocks,person
The Sun Also Rises,Barnes,person
The Sun Also Rises,Henry,person
The Sun Also Rises,Montagne Sainte Genevieve,person
The Sun Also Rises,Robert Prentiss,person
The Sun Also Rises,Georgette,person
The Sun Also Rises,Brett,person
The Sun Also Rises,Monsieur,person
The Sun Also Rises,Count Mippipopolous,person
The Sun Also Rises,Seen Cohn,person
The Sun Also Rises,Mike,person
The Sun Also Rises,Statue,person
The Sun Also Rises,Monsieur Barnes,person
The Sun Also Rises,Madeleine,person
The Sun Also Rises,Lucky,person
The Sun Also Rises,Brett Ashley,person
The Sun Also Rises,Mike Campbell,person
The Sun Also Rises,Ashley,person
The Sun Also Rises,Jack Rose,person
The Sun Also Rises,Harvey Stone,person
The Sun Also Rises,Harvey,person
The Sun Also Rises,Alexander Hamilton Institute,person
The Sun Also Rises,Robert Harvey,person
The Sun Also Rises,Paula,person
The Sun Also Rises,Bill Gorton,person
The Sun Also Rises,Michael,person
The Sun Also Rises,Mr Barnes,person
The Sun Also Rises,I Never,person
The Sun Also Rises,Bill,person
The Sun Also Rises,Tiger Flowers,person
The Sun Also Rises,Mister Gorton,person
The Sun Also Rises,Nice,person
The Sun Also Rises,George,person
The Sun Also Rises,Jack Roses,person
The Sun Also Rises,Bethune,person
The Sun Also Rises,Rue Saint Jacques,person
The Sun Also Rises,Val de Grace,person
The Sun Also Rises,Campbell,person
The Sun Also Rises,Hubert,person
The Sun Also Rises,Robert Cohnnor,person
The Sun Also Rises,Jefferson Davis,person
The Sun Also Rises,Bryan,person
The Sun Also Rises,Wayne,person
The Sun Also Rises,Harris,person
The Sun Also Rises,Jean Pied de Port,person
The Sun Also Rises,Jake,person
The Sun Also Rises,Tues,person
The Sun Also Rises,Jueves Cohn,person
The Sun Also Rises,Wilson Harris,person
The Sun Also Rises,Mr Cohn,person
The Sun Also Rises,Mr Campbell,person
The Sun Also Rises,Henry Wilson,person
The Sun Also Rises,Wait,person
The Sun Also Rises,Mark,person
The Sun Also Rises,Funny,person
The Sun Also Rises,Robert Mike,person
The Sun Also Rises,Pedro Romero,person
The Sun Also Rises,Does Cohn,person
The Sun Also Rises,Val Carlos,person
The Sun Also Rises,Don Manuel Orquito,person
The Sun Also Rises,Don Manuel,person
The Sun Also Rises,Brett and Pedro Romero,person
The Sun Also Rises,Vicente Girones,person
The Sun Also Rises,Then Cohn,person
The Sun Also Rises,Is Cohn,person
The Sun Also Rises,Belmonte,person
The Sun Also Rises,Romero,person
The Sun Also Rises,Marcial,person
The Sun Also Rises,Saint Jean de Luz,person
The Sun Also Rises,Saint Jean,person
The Sun Also Rises,Jean,person
The Sun Also Rises,Negre,person
The Sun Also Rises,Lord Ashley,person
The Sun Also Rises,Lord,person
The Old Man and the Sea,Rogelio,person
The Old Man and the Sea,John,person
The Old Man and the Sea,Mike Gonzalez,person
The Old Man and the Sea,Mary,person
The Old Man and the Sea,101,person
The Old Man and the Sea,Pedro,person
For Whom The Bell Tolls,Roberto,person
For Whom The Bell Tolls,Wait,person
For Whom The Bell Tolls,Robert Jordan,person
For Whom The Bell Tolls,Pablo,person
For Whom The Bell Tolls,Santa Maria del Real,person
For Whom The Bell Tolls,Pauvre Pablo,person
For Whom The Bell Tolls,Rafael,person
For Whom The Bell Tolls,Maria,person
For Whom The Bell Tolls,Of Pablo,person
For Whom The Bell Tolls,Lewis,person
For Whom The Bell Tolls,Robert Jordan Could,person
For Whom The Bell Tolls,This Pablo,person
For Whom The Bell Tolls,Cite,person
For Whom The Bell Tolls,Anselmo,person
For Whom The Bell Tolls,Old Pablo,person
For Whom The Bell Tolls,Finito,person
For Whom The Bell Tolls,Only Pablo,person
For Whom The Bell Tolls,Don Roberto,person
For Whom The Bell Tolls,Don Pablo,person
For Whom The Bell Tolls,Pilar,person
For Whom The Bell Tolls,Fernando,person
For Whom The Bell Tolls,Don Juan Tenorio,person
For Whom The Bell Tolls,But Pablo,person
For Whom The Bell Tolls,Then Pablo,person
For Whom The Bell Tolls,Don Guillermo Martin,person
For Whom The Bell Tolls,Surely,person
For Whom The Bell Tolls,Don Benito Garcia,person
For Whom The Bell Tolls,Don Benito,person
For Whom The Bell Tolls,Don Federico Gonzalez,person
For Whom The Bell Tolls,Don Federico,person
For Whom The Bell Tolls,Cuatro Dedos,person
For Whom The Bell Tolls,Don Ricardo Montalvo,person
For Whom The Bell Tolls,Don,person
For Whom The Bell Tolls,Ricardo,person
For Whom The Bell Tolls,Don Ricardo,person
For Whom The Bell Tolls,Lord,person
For Whom The Bell Tolls,Don Faustino Rivero,person
For Whom The Bell Tolls,Don Celestino Rivero,person
For Whom The Bell Tolls,Don Faustino,person
For Whom The Bell Tolls,Don Guillermo,person
For Whom The Bell Tolls,Don Anastasio Rivas,person
For Whom The Bell Tolls,Don Anastasio,person
For Whom The Bell Tolls,Don Jos Castro,person
For Whom The Bell Tolls,Don Pepe,person
For Whom The Bell Tolls,Jack Gilbert,person
For Whom The Bell Tolls,Ranch,person
For Whom The Bell Tolls,And Pablo,person
For Whom The Bell Tolls,Tonight,person
For Whom The Bell Tolls,Robert,person
For Whom The Bell Tolls,Jordan,person
For Whom The Bell Tolls,Ingls,person
For Whom The Bell Tolls,With Maria,person
For Whom The Bell Tolls,Doctor,person
For Whom The Bell Tolls,Maria I,person
For Whom The Bell Tolls,Vie,person
For Whom The Bell Tolls,You blearyeyed,person
For Whom The Bell Tolls,Juan March,person
For Whom The Bell Tolls,Mercedes,person
For Whom The Bell Tolls,Ask Pilar,person
For Whom The Bell Tolls,Hunt,person
For Whom The Bell Tolls,Grant,person
For Whom The Bell Tolls,Karkov,person
For Whom The Bell Tolls,Valentin Gonzalez,person
For Whom The Bell Tolls,Enrique Lister,person
For Whom The Bell Tolls,Juan Modesto,person
For Whom The Bell Tolls,Sherman,person
For Whom The Bell Tolls,Hans,person
For Whom The Bell Tolls,Bach,person
For Whom The Bell Tolls,Mitchell,person
For Whom The Bell Tolls,Comrade Jordan,person
For Whom The Bell Tolls,Emil Burns,person
For Whom The Bell Tolls,Walter,person
For Whom The Bell Tolls,Jean de Luz,person
For Whom The Bell Tolls,Juan Luis,person
For Whom The Bell Tolls,Rosa,person
For Whom The Bell Tolls,Ignacio Sanchez Mejias,person
For Whom The Bell Tolls,Felipe Gonzalez,person
For Whom The Bell Tolls,Pilar Fernando,person
For Whom The Bell Tolls,Plus Pablo,person
For Whom The Bell Tolls,Not Pablo,person
For Whom The Bell Tolls,Sordo,person
